VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,total_amount,date,DATE,PRCP,TMIN,TMAX
2,2/6/16 0:42,2/6/16 0:48,1,1.25,-73.98506165,40.74950027,1,-73.99861908,40.73992157,2,6,0.5,0.5,0,0,7.3,2/6/16,2/6/16 0:00,0,30,40
2,2/1/16 10:01,2/1/16 10:08,3,1.63,-73.98673248,40.70131683,1,-74.00667572,40.71378708,1,7.5,0,0.5,1.66,0,9.96,2/1/16,2/1/16 0:00,0.01,44,59
2,3/13/16 20:21,3/13/16 20:26,1,1.16,-73.998703,40.73471832,1,-73.98770905,40.74811554,2,6,0.5,0.5,0,0,7.3,3/13/16,3/13/16 0:00,0,50,62
2,3/8/16 8:21,3/8/16 8:51,4,6.7,-73.96088409,40.76937866,1,-74.00798035,40.70791245,1,27.5,0,0.5,4,0,32.3,3/8/16,3/8/16 0:00,0,47,67
1,1/5/16 22:42,1/5/16 22:53,2,2.9,-73.99359131,40.75705338,1,-74.00415802,40.71979141,1,11,0.5,0.5,0,0,12.3,1/5/16,1/5/16 0:00,0,11,29
1,2/11/16 18:16,2/11/16 18:32,1,2.5,-74.01433563,40.7171402,1,-74.00206757,40.75076294,1,12,1,0.5,1,0,14.8,2/11/16,2/11/16 0:00,0,18,31
1,1/9/16 13:36,1/9/16 13:45,1,1.4,-73.98748779,40.7388382,1,-74.00485992,40.73736191,1,8,0,0.5,2.2,0,11,1/9/16,1/9/16 0:00,0,40,47
2,3/13/16 10:11,3/13/16 10:23,1,2.2,-73.95012665,40.77731323,1,-73.97291565,40.75764847,1,10.5,0,0.5,2.26,0,13.56,3/13/16,3/13/16 0:00,0,50,62
1,3/1/16 7:31,3/1/16 7:40,1,1.7,-73.99164581,40.73187256,1,-73.99497986,40.75016022,1,8.5,0,0.5,1,0,10.3,3/1/16,3/1/16 0:00,0,39,52
1,2/1/16 17:30,2/1/16 17:38,1,0.8,-73.96841431,40.76478958,1,-73.97623444,40.75491714,2,6.5,1,0.5,0,0,8.3,2/1/16,2/1/16 0:00,0.01,44,59
1,3/4/16 2:57,3/4/16 3:15,1,4.6,-73.97422028,40.76389313,1,-73.98283386,40.76418304,1,17,0.5,0.5,5.45,0,23.75,3/4/16,3/4/16 0:00,0.11,30,39
1,3/3/16 11:33,3/3/16 11:48,1,1.7,-73.98551941,40.7416687,1,-73.99355316,40.73510742,1,11,0,0.5,2.35,0,14.15,3/3/16,3/3/16 0:00,0,26,36
1,3/4/16 15:25,3/4/16 15:49,1,3.8,-73.95864868,40.77560425,1,-73.95419312,40.81612778,2,17.5,0,0.5,0,0,18.3,3/4/16,3/4/16 0:00,0.11,30,39
2,1/3/16 10:25,1/3/16 10:31,1,1.13,-73.99131012,40.73500061,1,-73.97557068,40.73257065,2,6.5,0,0.5,0,0,7.3,1/3/16,1/3/16 0:00,0,35,45
2,1/3/16 3:26,1/3/16 3:33,5,1.69,-73.98174286,40.75733948,1,-73.96041107,40.76197052,1,7.5,0.5,0.5,1.76,0,10.56,1/3/16,1/3/16 0:00,0,35,45
1,2/6/16 17:24,2/6/16 17:36,1,1.9,-73.98455811,40.75518036,1,-73.96926117,40.76696396,1,9.5,0,0.5,2.05,0,12.35,2/6/16,2/6/16 0:00,0,30,40
2,2/13/16 17:43,2/13/16 18:18,5,5.12,-73.95617676,40.78467178,1,-73.99194336,40.72192383,1,24,0,0.5,4.96,0,29.76,2/13/16,2/13/16 0:00,0,6,22
2,3/12/16 14:24,3/12/16 14:32,1,1.15,-73.996521,40.74785233,1,-73.98582458,40.76045609,2,7,0,0.5,0,0,7.8,3/12/16,3/12/16 0:00,0,40,59
2,2/12/16 9:14,2/12/16 10:09,3,9.79,-73.8708725,40.77366257,1,-73.97598267,40.76550674,1,39,0,0.5,10,5.54,55.34,2/12/16,2/12/16 0:00,0,15,27
